,instrument_token,tradingsymbol
571,3369,DHFL-NW
572,3371,DHFL-NX
573,3377,DHFL-NY
574,3383,DHFL-NZ
575,3393,DHFL-Y1
576,3410,DHFL-Y2
577,22233,DHUNINV
578,21840,DIAMONDYD
579,4772,DIAPOWER-BZ
580,703,DICIND
581,16687,DIGISPICE-BE
582,13315,DIGJAMLTD-BZ
583,14537,DISHTV
584,10940,DIVISLAB
585,21690,DIXON
586,14732,DLF
587,17851,DLINKINDIA
588,19913,DMART
589,645,DNAMEDIA-BE
590,12124,DOLAT
591,20560,DOLLAR
592,13839,DONEAR
593,231,DPABHUSHAN-SM
594,15419,DPSCLTD
595,16902,DPWIRES-BE
596,24263,DQE-BE
597,11271,DREDGECORP
598,18769,DRL-SM
599,881,DRREDDY
600,6686,DRSDILIP-SM
601,3294,DSML-SM
602,25690,DSSL
603,6227,DTIL
604,28952,DUCON
605,15214,DVL
606,11667,DWARKESH
607,4525,DYNAMATECH
608,21314,DYNPRO
609,2990,E2E-SM
610,9769,EASTSILK-BE
611,3945,EASUNREYRL-BZ
612,11625,EBANK
613,16222,EBBETF0423
614,16253,EBBETF0430
615,24391,EBIXFOREX
616,15179,ECLERX
617,4268,ECLFINANCE-NE
618,4272,ECLFINANCE-NF
619,4276,ECLFINANCE-NG
620,4280,ECLFINANCE-NH
621,4284,ECLFINANCE-NI
622,4288,ECLFINANCE-NJ
623,4292,ECLFINANCE-NK
624,4296,ECLFINANCE-NL
625,7956,ECLFINANCE-NM
626,7961,ECLFINANCE-NN
627,7968,ECLFINANCE-NO
628,7970,ECLFINANCE-NP
629,7972,ECLFINANCE-NQ
630,7975,ECLFINANCE-NR
631,7986,ECLFINANCE-NS
632,15119,EDELWEISS
633,21747,EDUCOMP-BZ
634,17860,EHFLNCD-N3
635,17862,EHFLNCD-N4
636,17864,EHFLNCD-N5
637,17866,EHFLNCD-N6
638,17868,EHFLNCD-N7
639,910,EICHERMOT
640,916,EIDPARRY
641,20249,EIFFL-SM
642,15399,EIHAHOTELS
643,919,EIHOTEL
644,4040,EIMCOELECO
645,13091,EKC
646,13643,ELECON
647,928,ELECTCAST
648,18116,ELECTCAST-W1
649,4469,ELECTHERM
650,937,ELGIEQUIP
651,24928,ELGIRUBCO-BE
652,13517,EMAMILTD
653,10074,EMAMIPAP
654,19277,EMAMIREAL
655,9383,EMBASSY-RR
656,14962,EMCO-BZ
657,13421,EMKAY
658,10253,EMKAYTOOLS-SM
659,18142,EMMBI
660,18822,ENDURANCE
661,15049,ENERGYDEV
662,4907,ENGINERSIN
663,13192,ENIL
664,17174,EQ30
665,16852,EQUITAS
666,2213,ERFLNCDI-N1
667,2217,ERFLNCDI-N2
668,2219,ERFLNCDI-N3
669,2246,ERFLNCDI-N4
670,2252,ERFLNCDI-N5
671,2254,ERFLNCDI-N6
672,21154,ERIS
673,20080,EROSMEDIA
674,955,ESABINDIA
675,958,ESCORTS
676,25634,ESSARSHPNG
677,981,ESSELPACK
678,24265,ESTER
679,13317,EUROCERA-BZ
680,17466,EUROMULTI-BE
681,8886,EUROTEXIND-BE
682,11782,EVEREADY
683,993,EVERESTIND
684,17376,EXCEL
685,11471,EXCELINDUS
686,676,EXIDEIND
687,17486,EXPLEOSOL
688,1008,FACT
689,8825,FAIRCHEM
690,6198,FCL
691,30038,FCONSUMER
692,12002,FCSSOFT-BE
693,4898,FDC
694,1023,FEDERALBNK
695,10516,FEL
696,17002,FELDVR
697,573,FELIX-SM
698,13710,FIEMIND
699,24532,FILATEX
700,1038,FINCABLES
701,3744,FINEORG
702,1041,FINPIPE
703,25516,FLEXITUFF-BE
704,30752,FLFL
705,13750,FLUOROCHEM
706,1190,FMGOETZE
707,21017,FMNL
708,20468,FOCUS-SM
709,11573,FORCEMOT
710,14592,FORTIS
711,1073,FOSECOIND
712,12162,FOURTHDIM-SM
713,18378,FRETAIL
714,744,FSC
715,14304,FSL
716,1085,GABRIEL
717,8828,GAEL
718,4717,GAIL
719,20300,GAL-BE
720,1315,GALAXYSURF
721,13337,GALLANTT
722,20140,GALLISPAT
723,15393,GAMMNINFRA-BE
724,14116,GANDHITUBE
725,6944,GANECOS
726,14343,GANESHHOUC-BE
727,3955,GANGAFORGE-SM
728,21399,GANGESSECU
729,7391,GARDENSILK-BE
730,1100,GARFIBRES
731,13688,GATI
732,3699,GAYAHWS-BE
733,25027,GAYAPROJ-BE
734,10116,GBGLOBAL-BE
735,11735,GDL
736,13658,GEECEE
737,17922,GEEKAYWIRE
738,10905,GENESYS
739,6600,GENUSPAPER
740,11905,GENUSPOWER
741,11896,GEOJITFSL
742,7862,GEPIL
743,13776,GESHIP
744,16783,GET&D
745,1289,GFLLIMITED
746,11079,GFSTEELS-BE
747,1127,GHCL
748,1139,GICHSGFIN
749,18815,GICL-SM
750,277,GICRE
751,17843,GILLANDERS-BE
752,1576,GILLETTE
753,9294,GINNIFILA-BE
754,1145,GIPCL
755,9935,GIRRESORTS-IT
756,17000,GISOLUTION-BE
757,17357,GKWLIMITED
758,1153,GLAXO
759,7406,GLENMARK
760,19738,GLOBAL-SM
761,13735,GLOBALVECT
762,21112,GLOBE-SM
763,14576,GLOBOFFS-BE
764,17424,GLOBUSSPR
765,1168,GMBREW
766,5204,GMDCLTD
767,1570,GMMPFAUDLR
768,13528,GMRINFRA
769,18571,GNA
770,1174,GNFC
771,14687,GOACARBON
772,3963,GOCLCORP
773,1181,GODFRYPHLP
774,2959,GODHA-SM
775,144,GODREJAGRO
776,10099,GODREJCP
777,10925,GODREJIND
778,17875,GODREJPROP
779,5010,GOENKA-BZ
780,11778,GOKEX
781,16705,GOKUL
782,14480,GOKULAGRO
783,14428,GOLDBEES
784,1255,GOLDENTOBC
785,11971,GOLDIAM
786,14535,GOLDSHARE
787,1,GOLDSTAR-SM
788,9874,GOLDTECH
789,6125,GOODLUCK
790,13409,GPIL
791,19731,GPPL
792,17685,GPTINFRA
793,11872,GRANULES
794,592,GRAPHITE
795,1232,GRASIM
796,20534,GRAVITA
797,1235,GREAVESCOT
798,6848,GREENLAM
799,13835,GREENPANEL-BE
800,3987,GREENPLY
801,20110,GREENPOWER
802,18741,GRETEX-SM
803,13560,GRINDWELL
804,17770,GROBTEA
805,6543,GRPLTD
806,5475,GRSE
807,29850,GSCLCEMENT
808,1247,GSFC
809,13197,GSPL
810,15347,GSS
811,13745,GTLINFRA
812,8539,GTNIND-BE
813,13473,GTNTEX
814,21195,GTPL
815,11606,GUFICBIO
816,1267,GUJALKALI
817,14677,GUJAPOLLO
818,10599,GUJGASLTD
819,18875,GUJNRECOKE-W1
820,10097,GUJRAFFIA-BE
821,4391,GULFOILLUB
822,11581,GULFPETRO
823,6286,GULPOLY
824,13226,GVKPIL
825,2303,HAL
826,17052,HARITASEAT
827,1313,HARRMALAYA
828,18158,HATHWAY-BE
829,3892,HATSUN
830,9819,HAVELLS
831,8417,HAVISHA-BE
832,13966,HBLPOWER
833,4116,HBSL
834,1375,HCC
835,15555,HCG
836,5735,HCL-INSYS-BE
837,7229,HCLTECH
838,1330,HDFC
839,4244,HDFCAMC
840,1333,HDFCBANK
841,467,HDFCLIFE
842,19543,HDFCMFGETF
843,11591,HDFCNIFETF
844,11593,HDFCSENETF
845,17920,HDIL-BZ
846,15457,HECPROJECT-SM
847,1336,HEG
848,2316,HEIDELBERG
849,15288,HERCULES
850,4598,HERITGFOOD
851,1348,HEROMOTOCO
852,7048,HESTERBIO
853,27012,HEXATRADEX-BE
854,10734,HEXAWARE
855,21951,HFCL
856,1672,HGINFRA
857,14712,HGS
858,9668,HIKAL
859,1455,HIL
860,14627,HILTON
861,1360,HIMATSEIDE
862,1363,HINDALCO
863,1372,HINDCOMPOS
864,1687,HINDCON-SM
865,17939,HINDCOPPER
866,21676,HINDMOTORS
867,17050,HINDNATGLS-BE
868,1403,HINDOILEXP
869,1406,HINDPETRO
870,1394,HINDUNILVR
871,1424,HINDZINC
872,13890,HIRECT
873,19322,HISARMETAL
874,2868,HITECH
875,15161,HITECHCORP
876,4433,HITECHGEAR
877,1448,HLVLTD
878,19698,HMT-BZ
879,19211,HMVL
880,12173,HNDFDS
881,18284,HNGSNGBEES
882,3417,HONAUT
883,3138,HONDAPOWER
884,10366,HOTELRUGBY-BE
885,13592,HOVS
886,17147,HPIL-SM
887,18679,HPL
888,14334,HSCL
889,1412,HSIL
890,11979,HTMEDIA
891,14203,HUBTOWN
892,20825,HUDCO
893,31240,HUDCO-N2
894,31242,HUDCO-N3
895,29310,HUDCO-N4
896,29312,HUDCO-N5
897,29648,HUDCO-N6
898,29650,HUDCO-N7
899,19928,HUDCO-N8
900,19930,HUDCO-N9
901,19962,HUDCO-NA
902,19964,HUDCO-NB
903,19966,HUDCO-NC
904,19968,HUDCO-ND
905,19970,HUDCO-NE
906,18589,HUSYSLTD-SM
907,9937,IBMFNIFTY
908,14450,IBREALEST
909,4871,IBUCCREDIT-N1
910,4873,IBUCCREDIT-N2
911,4875,IBUCCREDIT-N3
912,4878,IBUCCREDIT-N4
913,4904,IBUCCREDIT-N5
914,4906,IBUCCREDIT-N6
915,4909,IBUCCREDIT-N7
916,4912,IBUCCREDIT-N8
917,4914,IBUCCREDIT-N9
918,4926,IBUCCREDIT-NA
919,4930,IBUCCREDIT-NB
920,4936,IBUCCREDIT-NC
921,4942,IBUCCREDIT-ND
922,30125,IBULHSGFIN
923,18618,IBULHSGFIN-N5
924,18620,IBULHSGFIN-N6
925,18622,IBULHSGFIN-N7
926,18624,IBULHSGFIN-N8
927,18626,IBULHSGFIN-N9
928,18628,IBULHSGFIN-NA
929,18630,IBULHSGFIN-NB
930,18632,IBULHSGFIN-NC
931,18634,IBULHSGFIN-ND
932,18636,IBULHSGFIN-NE
933,18638,IBULHSGFIN-NF
934,30132,IBULHSGFIN-W1
935,25003,IBULISL-BE
936,15384,IBVENTURES
937,9565,IBVENTURES-E3
938,624,ICEMAKE-SM
939,8224,ICFL-N1
940,9140,ICFL-N2
941,9143,ICFL-N3
942,9148,ICFL-N4
943,9154,ICFL-N5
944,9157,ICFL-N6
945,9161,ICFL-N7
946,9165,ICFL-N8
947,10521,ICFL-NA
948,10537,ICFL-NB
949,10539,ICFL-NC
950,10598,ICFL-ND
951,10626,ICFL-NE
952,10628,ICFL-NF
953,10630,ICFL-NG
