Time = 13:10:00, O = 1470.25, H = 1471.55, L = 1470.0, C = 1470.6, Volume = 36927, ema_5=1470.623, ema_8=1470.826, ema_13=1471.385
Time = 13:15:00, O = 1470.6, H = 1474.0, L = 1470.0, C = 1473.9, Volume = 82980, ema_5=1471.715, ema_8=1471.509, ema_13=1471.744
Time = 13:20:00, O = 1473.9, H = 1474.0, L = 1470.95, C = 1471.05, Volume = 52302, ema_5=1471.494, ema_8=1471.407, ema_13=1471.645
Time = 13:25:00, O = 1471.05, H = 1472.5, L = 1470.8, C = 1471.8, Volume = 39936, ema_5=1471.596, ema_8=1471.495, ema_13=1471.667
Time = 13:30:00, O = 1471.85, H = 1472.45, L = 1470.0, C = 1471.0, Volume = 63374, ema_5=1471.397, ema_8=1471.385, ema_13=1471.572
Time = 13:35:00, O = 1471.15, H = 1471.15, L = 1465.1, C = 1466.1, Volume = 233680, ema_5=1469.631, ema_8=1470.21, ema_13=1470.79
Time = 13:40:00, O = 1466.1, H = 1469.8, L = 1464.1, C = 1469.3, Volume = 207155, ema_5=1469.521, ema_8=1470.008, ema_13=1470.577
Time = 13:45:00, O = 1469.35, H = 1473.2, L = 1467.65, C = 1471.8, Volume = 160559, ema_5=1470.281, ema_8=1470.406, ema_13=1470.752
Time = 13:50:00, O = 1472.0, H = 1475.9, L = 1471.3, C = 1475.9, Volume = 176509, ema_5=1472.154, ema_8=1471.627, ema_13=1471.487
Time = 13:55:00, O = 1475.55, H = 1477.65, L = 1472.1, C = 1473.0, Volume = 134658, ema_5=1472.436, ema_8=1471.932, ema_13=1471.704
Time = 14:00:00, O = 1472.9, H = 1478.2, L = 1472.5, C = 1477.7, Volume = 147751, ema_5=1474.191, ema_8=1473.214, ema_13=1472.56
Time = 14:05:00, O = 1477.25, H = 1483.55, L = 1477.0, C = 1478.5, Volume = 282148, ema_5=1475.627, ema_8=1474.389, ema_13=1473.409
Time = 14:10:00, O = 1478.8, H = 1480.0, L = 1477.4, C = 1478.0, Volume = 98849, ema_5=1476.418, ema_8=1475.191, ema_13=1474.065
